author,title,controlno,call_no
이승현,"메이커를 위한 라즈베리 파이 : 동작 원리와 물리 법칙으로 제대로 배우는 GPIO, 센서, 모터, 통신, 디스플레이 고급 프로그래밍",000001855224,004.16 017거
정원석,(사물인터넷을 위한) 라즈베리파이 3 활용,000001855756,004.16 017겨
이상구,라즈베리 파이,000001858511,004.16 017고
"Azar, Erik",스위프트 데이터 구조와 알고리즘 : 프로그래밍의 튼튼한 기초,000002009919,004.16 017교
서민우,(아두이노처럼 사용하는) 라즈베리 파이 3 직접 코딩하기,000001890334,004.16 018가
서민우,(아두이노처럼 사용하는) 라즈베리 파이 3 직접 코딩하기,000001898150,004.16 018가
"Molloy, Derek",익스플로링 라즈베리 파이 : 임베디드 리눅스와 전자회로를 이용한 라즈베리 파이 완벽 활용 가이드,000001901743,004.16 018갸
복전화굉 福田和宏,라즈베리 파이 3 : 입문과 실전 활용 : 한 권으로 끝내자!,000001913705,004.16 018갸
이준혁,"라즈베리 파이, 상상을 현실로 만드는 프로젝트 : 입문편",000001921033,004.16 018거
기연아,(라즈베리파이) CCTV 만들기 : 사물인터넷 IoT maker,000001902480,004.16 018거
이준혁,"라즈베리 파이, 상상을 현실로 만드는 프로젝트 : 입문편",000001927433,004.16 018겨
"Pajankar, Ashwin",라즈베리 파이와 슈퍼컴퓨팅 : 병렬 처리 시스템 구축 및 과학 프로그래밍 가이드북,000001921127,004.16 018겨
"Molloy, Derek",익스플로링 라즈베리 파이 : 임베디드 리눅스와 전자회로를 이용한 라즈베리 파이 완벽 활용 가이드,000001895454,004.16 018고
석정모루나 石井モルナ,모두의 라즈베리 파이 with 파이썬 : 누구나 쉽게 배우는 전자 회로 공작과 파이썬 프로그래밍,000001937914,004.16 019가
석정모루나 石井モルナ,모두의 라즈베리 파이 with 파이썬 : 누구나 쉽게 배우는 전자 회로 공작과 파이썬 프로그래밍,000001939205,004.16 019가
"Nisan, Noam","밑바닥부터 만드는 컴퓨팅 시스템 : 불 논리부터 컴퓨터 아키텍처, 운영체제까지",000001947814,004.16 019갸
"Nisan, Noam","밑바닥부터 만드는 컴퓨팅 시스템 : 불 논리부터 컴퓨터 아키텍처, 운영체제까지",000001952167,004.16 019갸
강기덕수 江崎德秀,(자바로 시작하는) 라즈베리 파이 : BlueJ로 손쉬운 프로그래밍!,000001950601,004.16 019거
임근식,라즈베리파이로 시작하는 핸드메이드 IoT : 직접 체험하며 배우는 임베디드 IoT 프로그래밍,000001975462,004.16 019겨
오상열,(쉽게 배우고 생활에 바로 쓰는) 스마트폰 사진 클라우드와 PC로 관리하기,000001945163,004.16 019겨
이용진,라즈베리파이 3 네트워크 프로그래밍,000001950783,004.16 019고
이용진,라즈베리파이 3 네트워크 프로그래밍,000001976457,004.16 019고
"Norman, Donald A",도널드 노먼의 인간 중심 디자인 : 정보가전의 UX와 HCI를 위한 디자인 이야기,000001961203,004.16 019교
박군종,(라즈베리파이로 구현하는) 사물인터넷(IoT),000001979015,004.16 019구
최주호,(IoT 사물인터넷을 위한) 라즈베리파이 4 정석 : 파이썬을 활용한 센서제어 및 나만의 가상비서 만들기,000001985345,004.16 019구
최주호,(IoT 사물인터넷을 위한) 라즈베리파이 4 정석 : 파이썬을 활용한 센서제어 및 나만의 가상비서 만들기,000001981530,004.16 019규
박군종,(라즈베리파이로 구현하는) 사물인터넷(IoT),000002015745,004.16 019규
유기주,(Arduino를 활용한) IoT 제어 프로그래밍,000001985871,004.16 019그
박군종,(라즈베리파이로 풀어보는) 사물인터넷 IoT,000002015746,004.16 020가
서민우,진짜 코딩하며 배우는 라즈베리파이 4 : 기초 예제부터 음성인식과 인공지능으로 대화하기까지,000002016914,004.16 020가
김성우,(사물인터넷을 품은) 라즈베리 파이,000002018118,004.16 020갸
김수진,스마트폰 내 맘대로 : with 안드로이드 10,000002035573,004.16 020갸
김성우,(사물인터넷을 품은) 라즈베리 파이,000002035647,004.16 020거
염호준,(32비트 마이크로컨트롤러) Cortex M4 무작정 따라하기 : STM32F407 중심,000002032202,004.16 020겨
서민우,진짜 코딩하며 배우는 라즈베리파이 4 : 기초 예제부터 음성인식과 인공지능으로 대화하기까지,000002117960,004.16 020고
정금섭,Cortex-M4 이론과 실무 : ARM Core STM 32  마스터하기,000002066532,004.16 021가
황민정,왓츠 인 마이 아이패드 : with 굿노트,000002076903,004.16 021가
김경연,라즈베리파이4로 구현하는 사물인터넷(IoT)과 인공지능(AI),000002066616,004.16 021갸
황민정,왓츠 인 마이 아이패드 : with 굿노트,000002085612,004.16 021거
서민우,인공지능 자율주행 RC카 체험하고 코딩하기 : with 라즈베리파이,000002101968,004.16 022가
서민우,인공지능 자율주행 RC카 체험하고 코딩하기 with 라즈베리파이,000002105935,004.16 022가
김승연,(된다! 구독자 20만 유튜버 맨날 수리야의) 뚝딱뚝딱 내 컴퓨터 문제 해결 : PC 고장 수리 & 윈도우 활용 팁,000002122083,004.16 022갸
한국과학원. 전산학과. 전산기구조연구실,마이크로 컴퓨터,000000300217,004.16 82 
"Greenfield, Joseph D.",Microprocessor handbook,000001366123,004.16 85b
구동현,XT 하드웨어 특성과 활용,000000267116,004.16 90거 
김은정,(IBM PC/XT/AT 호환기종의 사용자를 위한)PC의 작동원리,000000290016,004.16 90겨 
이사영,마이크로 컴퓨터 : 이론과 실습,000000316904,004.16 92 
유의열,PC 닥터,000000447553,004.16 92가 
김문현,마이크로 프로세서 시스템의 기초,000000338508,004.16 93가 
김종민,(내 손으로 직접)PC를 조립하자,000000447562,004.16 93갸 
 ,IBM PC 인터페이스 기술,000000491343,004.16 93거 
김득수,"마이크로 프로세서의 이해, 1",000000431515,004.16 94거 
"Brey, Barry B","The Intel 32-bit microprocessors : 80386, 80486, and Pentium",000001455734,004.16 95a
홍종훈,컴퓨터에 문제가 생겼다고요?,000000478001,004.16 95겨
오상문,"PC 응급처치, 참 쉽네요!",000000479144,004.16 95고
박승욱,사이버 클리닉 911 : 컴퓨터 응급조치,000000506780,004.16 97갸
"Norman, Donald A","The invisible computer : why good products can fail, the personal computer is so complex, and information appliances are the solution",000001561649,004.16 98b
"International Symposium on Wearable Computers (3rd : 1999 : San Francisco, Calif.)","The third International Symposium on Wearable Computers : digest of papers, October 18-19, 1999, San Francisco, California",000001563622,004.16 99a
"Li, Yau-Tsun Steven",Performance analysis of real-time embedded software,000001567469,004.16 99b
"Hellerman, Herbert",オぺレ-ティング システムの 性能評價,000000508043,004.16 H367c 대
"Mizokawa, Donald T","Everyday computing in academe : a guide for scholars, researchers, students, and other academic users of personal computers",000001536122,004.1602437 94a
 ,아이콘,000000720212,004.1605 피씨서
 ,PC 21,000000719441,004.1605 피씨이
"Waldrop, M. Mitchell",The dream machine : J. C. R. Licklider and the revolution that made computing personal,000001941000,004.16092 L618 018a
"Ames, Morgan G","The charisma machine : the life, death, and legacy of One Laptop Per Child",000002020895,004.1609724 019a
"Furber, Stephen Bo",ARM system-on-chip architecture,000001250403,004.165 000a
"Ayala, Kenneth J.",The 80251 microcontroller,000001705855,004.165 000b
"Mazidi, Muhammad Ali","The 80x86 IBM PC and compatible computers . Vol. I ＆ II, Assembly language, design, and interfacing",000002029084,004.165 000d
윤덕룡 尹德龍,"(어셈블리와 C언어로 익히는)80C196KC 마스터. 1,2",000001076126,004.165 001갸
"Uffenbeck, John",80x86 마이크로프로세서,000001066180,004.165 002
"Uffenbeck, John E.","The 80x86 family : design, programming, and interfacing",000001709229,004.165 002a
"Broida, Rick",How to do everything with your Sony CLIE,000001716788,004.165 002b
박귀태,(C로 쓰는)TMS320C240 : 하드웨어·소프트웨어·한글개발환경,000001082882,004.165 002가
"Van West, Jeff",Tablet PC Quick Reference,000001715076,004.165 003a
"Furber, Stephen Bo",ARM system-on-chip 구조,000000086335,004.165 005가
장경선,8051 VHDL 코어의 완전분석 : 및 어셈블러의 개발,000001103514,004.165 005갸
이응혁,8051 마이크로컨트롤러 : 프로그래밍과 인터페이싱,000001105005,004.165 005겨
임석구 林錫鳩,"어셈블러로 배우는 마이크로프로세서 : 8051 기반의 이론, 실습, 구현",000000159519,004.165 006가
안효복,(ARM으로 배우는) 임베디드 시스템,000001110844,004.165 006가
김형태,KEIL과 ARM7 그리고 Firmware 개발,000001128034,004.165 006갸
박노훈,매킨토시 2007 가이드북,000001113975,004.165 007가
"Spivey, Dwight",Mac,000002029052,004.165 008a
"Hash imi, Sayed Y",Pro Android,000001630025,004.165 009a
백성필,애플에 미쳐라! 매킨토시 가이드 북 : leopard & snow leopard,000001139694,004.165 009가
백성필,Macintosh guide book : Mac OS X 10.5.6,000001145183,004.165 009갸
이영욱,마이크로프로세서 설계 및 응용 : AVR 8535 중심,000001145035,004.165 009거
"Yiu, Joseph",ARM Cortex-M3 완벽가이드,000001148011,004.165 009겨
"Baxter-Reynolds, Matthew",Multimobile development : building applications for the iPhone and Android platforms,000001609446,004.165 010a
"McFedries, Paul",iPad : portable genius,000001630007,004.165 010b
"Hart-Davis, Guy",Teach yourself visually iMac,000001753798,004.165 010c 
"Hertzfeld, Andy",미래를 만든 Geeks,000001155094,004.165 010가
"Love, Steve",모바일 HCI를 위한 연구 방법론,000000750026,004.165 010가
임석구,(C 언어로 배우는) 8051 마이크로프로세서,000000772426,004.165 010갸
"Lee, Wei Meng",(시작하세요!) 아이패드 프로그래밍,000000840519,004.165 010거
"Premeaux, Emery",Arduino Projects to Save the World,000001726999,004.165 011a
장춘서,마이크로프로세서 응용 및 실습,000001179722,004.165 011가
장춘서,마이크로프로세서 응용 및 실습,000000791262,004.165 011가
"Baxter-Reynolds, Matthew",(아이폰과 안드로이드 기반의) 크로스 플랫폼 앱 개발,000000793392,004.165 011갸
"Baxter-Reynolds, Matthew",(아이폰과 안드로이드 기반의) 크로스 플랫폼 앱 개발,000001181661,004.165 011갸
백성필,Macintosh guide book : Mac OS X - Lion : 애플에 미쳐라! 매킨토시 가이드 북,000001181033,004.165 011거
안창현,Mac book Mac mini 매뉴얼 가이드 : OS X Lion : 초보자를 위한 애플 맥 컴퓨터 활용 가이드,000001184761,004.165 011겨
"Melgar, Enrique Ramos","Arduino and Kinect Projects:- Design, Build, Blow Their Minds. : Design, Build, Blow Their Minds",000001726998,004.165 012a
"David, Matthew",플래시로 만드는 아이폰 & 안드로이드 앱,000001190084,004.165 012가
배동규,CompTIA Project,000000820109,004.165 012가
이재동,모바일 과학 개론,000001191590,004.165 012갸
"David, Matthew",플래시로 만드는 아이폰 & 안드로이드 앱,000000838126,004.165 012갸
이춘수,8051 마이크로프로세서 실습,000001203245,004.165 012거
"Mazidi, Muhammad Ali",The 8051 microcontroller : a systems approach,000001778448,004.165 013a 
장춘서,(80X86/AVR ATmega128) 마이크로프로세서 응용 및 실습,000001207935,004.165 013가
안효복,(ARM으로 배우는) 임베디드 리눅스 시스템 : CPU에서 안드로이드까지 총망라!,000001229368,004.165 013갸
"Monk, Simon",Raspberry Pi cookbook,000001673093,004.165 014a
"Bates, Daniel",Raspberry Pi projects for kids : start your own coding adventure with your kids by creating cool and exciting games and applications on the Raspberry Pi,000001832204,004.165 014b
"Annuzzi, Joseph",Advanced android application development,000001760640,004.165 015a 
허경용,사물인터넷을 위한 ESP8266 프로그래밍 : 아두이노 버전,000001873471,004.165 017가
"Upton, Eben",(라즈베리 파이로 배우는) 컴퓨터 아키텍쳐 : 라즈베리 파이 제작자가 알려주는 컴퓨터 동작 원리와 시스템 디자인,000001883470,004.165 017갸
"Gay, Warren",Advanced Raspberry Pi : Raspbian Linux and GPIO integration,000001999666,004.165 018a
박신성,AVR ATmega128로 시작하는 마이크로프로세서 프로그래밍,000002033861,004.165 020가
샤키,나의 첫 아이패드 다이어리 : 오늘부터 내 손도 금손? 굿노트와 프로크리에이트 사용법부터 다이어리 꾸미기까지,000002046781,004.165 021가
레이나,(일상이 반짝이는) 아이패드 다이어리 : 굿노트 사용법부터 오밀조밀 다이어리 꾸미기까지,000002067004,004.165 021갸
윤다연,"(똑똑한) 아이패드 활용법 : 아이패드로 기록하고, 그림을 그리고, 나만의 사진과 영상 간직하기",000002073835,004.165 021거
샤키,나의 첫 아이패드 다이어리 : 오늘부터 내 손도 금손? 굿노트와 프로크리에이트 사용법부터 다이어리 꾸미기까지,000002060174,004.165 021겨
"Norton, Peter",IBM PC의 안쪽 : IBM PC의 완벽 해설판,000000447537,004.165 90가
"Brey, Barry B","The Intel microprocessors : 8086/8088, 80186, 80286, 80386, and 80486 : architecture, programming, and interfacing",000001390237,004.165 91b
"Liu, Yu-cheng",The M68000 microprocessor family : fundamentals of assembly language programming and interface design,000001418069,004.165 91c
신동완,(IBM-PC도 정복하고 C언어도 정복하는)IBM-PC 내부,000000316933,004.165 91갸
나종래,(센서 콘트롤러)인텔 8096 구조와 설계 : 16비트 단일칩 콘트롤러,000000515595,004.165 91거
"Miller, Michael",악! PC 이럴수가,000000426224,004.165 93가
"Gookin, Dan",깡통들을 위한 PC,000000416548,004.165 93갸
황희륭 黃熙隆,초보자를 위한 8051 : one-chip microcomputer,000000430712,004.165 93거
"Pilgrim, Aubrey",PC 업그레이드와 고장수리,000000468984,004.165 95갸
이승무,8051 바이블 기초에서 활용까지,000000476157,004.165 95거
성평식 成平植,마이크로 프로세서 응용,000000517488,004.165 96가
"Weixel, Suzanne",(단계별로 보기 쉽게 꾸며진)아주 쉬운 PC,000000511571,004.165 97가
차영배,(초보자를 위한)PIC16C84/71,000001030843,004.165 98
"Omondi, Amos R",The microarchitecture of pipelined and superscalar computers,000001283337,004.165 99a
